통계표,"4.1.1 시장금리(일별)"
항목명1,"  콜금리(1일, 전체거래)"
단위,"연%"
변환,"원자료"
2017/01/01,""
2017/01/02,"1.26"
2017/01/03,"1.24"
2017/01/04,"1.24"
2017/01/05,"1.24"
2017/01/06,"1.24"
2017/01/07,""
2017/01/08,""
2017/01/09,"1.24"
2017/01/10,"1.25"
2017/01/11,"1.24"
2017/01/12,"1.23"
2017/01/13,"1.24"
2017/01/14,""
2017/01/15,""
2017/01/16,"1.24"
2017/01/17,"1.23"
2017/01/18,"1.23"
2017/01/19,"1.24"
2017/01/20,"1.24"
2017/01/21,""
2017/01/22,""
2017/01/23,"1.24"
2017/01/24,"1.25"
2017/01/25,"1.25"
2017/01/26,"1.26"
2017/01/27,""
2017/01/28,""
2017/01/29,""
2017/01/30,""
2017/01/31,"1.25"
2017/02/01,"1.23"
2017/02/02,"1.23"
2017/02/03,"1.23"
2017/02/04,""
2017/02/05,""
2017/02/06,"1.22"
2017/02/07,"1.21"
2017/02/08,"1.22"
2017/02/09,"1.23"
2017/02/10,"1.23"
2017/02/11,""
2017/02/12,""
2017/02/13,"1.23"
2017/02/14,"1.23"
2017/02/15,"1.23"
2017/02/16,"1.22"
2017/02/17,"1.23"
2017/02/18,""
2017/02/19,""
2017/02/20,"1.23"
2017/02/21,"1.23"
2017/02/22,"1.24"
2017/02/23,"1.24"
2017/02/24,"1.24"
2017/02/25,""
2017/02/26,""
2017/02/27,"1.24"
2017/02/28,"1.26"
2017/03/01,""
2017/03/02,"1.24"
2017/03/03,"1.23"
2017/03/04,""
2017/03/05,""
2017/03/06,"1.20"
2017/03/07,"1.18"
2017/03/08,"1.23"
2017/03/09,"1.24"
2017/03/10,"1.24"
2017/03/11,""
2017/03/12,""
2017/03/13,"1.23"
2017/03/14,"1.23"
2017/03/15,"1.23"
2017/03/16,"1.22"
2017/03/17,"1.20"
2017/03/18,""
2017/03/19,""
2017/03/20,"1.22"
2017/03/21,"1.22"
2017/03/22,"1.22"
2017/03/23,"1.23"
2017/03/24,"1.22"
2017/03/25,""
2017/03/26,""
2017/03/27,"1.23"
2017/03/28,"1.22"
2017/03/29,"1.24"
2017/03/30,"1.25"
2017/03/31,"1.27"
2017/04/01,""
2017/04/02,""
2017/04/03,"1.25"
2017/04/04,"1.23"
2017/04/05,"1.23"
2017/04/06,"1.23"
2017/04/07,"1.23"
2017/04/08,""
2017/04/09,""
2017/04/10,"1.23"
2017/04/11,"1.23"
2017/04/12,"1.23"
2017/04/13,"1.23"
2017/04/14,"1.23"
2017/04/15,""
2017/04/16,""
2017/04/17,"1.23"
2017/04/18,"1.23"
2017/04/19,"1.23"
2017/04/20,"1.24"
2017/04/21,"1.24"
2017/04/22,""
2017/04/23,""
2017/04/24,"1.24"
2017/04/25,"1.23"
2017/04/26,"1.22"
2017/04/27,"1.17"
2017/04/28,"1.21"
2017/04/29,""
2017/04/30,""
2017/05/01,""
2017/05/02,"1.22"
2017/05/03,""
2017/05/04,"1.22"
2017/05/05,""
2017/05/06,""
2017/05/07,""
2017/05/08,"1.23"
2017/05/09,""
2017/05/10,"1.23"
2017/05/11,"1.23"
2017/05/12,"1.23"
2017/05/13,""
2017/05/14,""
2017/05/15,"1.23"
2017/05/16,"1.23"
2017/05/17,"1.23"
2017/05/18,"1.23"
2017/05/19,"1.23"
2017/05/20,""
2017/05/21,""
2017/05/22,"1.23"
2017/05/23,"1.23"
2017/05/24,"1.23"
2017/05/25,"1.22"
2017/05/26,"1.23"
2017/05/27,""
2017/05/28,""
2017/05/29,"1.23"
2017/05/30,"1.24"
2017/05/31,"1.26"
2017/06/01,"1.25"
2017/06/02,"1.22"
2017/06/03,""
2017/06/04,""
2017/06/05,"1.24"
2017/06/06,""
2017/06/07,"1.23"
2017/06/08,"1.24"
2017/06/09,"1.23"
2017/06/10,""
2017/06/11,""
2017/06/12,"1.23"
2017/06/13,"1.23"
2017/06/14,"1.23"
2017/06/15,"1.23"
2017/06/16,"1.23"
2017/06/17,""
2017/06/18,""
2017/06/19,"1.23"
2017/06/20,"1.23"
2017/06/21,"1.23"
2017/06/22,"1.23"
2017/06/23,"1.24"
2017/06/24,""
2017/06/25,""
2017/06/26,"1.25"
2017/06/27,"1.25"
2017/06/28,"1.25"
2017/06/29,"1.27"
2017/06/30,"1.29"
2017/07/01,""
2017/07/02,""
2017/07/03,"1.26"
2017/07/04,"1.23"
2017/07/05,"1.22"
2017/07/06,"1.23"
2017/07/07,"1.24"
2017/07/08,""
2017/07/09,""
2017/07/10,"1.24"
2017/07/11,"1.24"
2017/07/12,"1.24"
2017/07/13,"1.24"
2017/07/14,"1.24"
2017/07/15,""
2017/07/16,""
2017/07/17,"1.23"
2017/07/18,"1.23"
2017/07/19,"1.23"
2017/07/20,"1.23"
2017/07/21,"1.24"
2017/07/22,""
2017/07/23,""
2017/07/24,"1.24"
2017/07/25,"1.24"
2017/07/26,"1.24"
2017/07/27,"1.24"
2017/07/28,"1.23"
2017/07/29,""
2017/07/30,""
2017/07/31,"1.24"
2017/08/01,"1.23"
2017/08/02,"1.21"
2017/08/03,"1.22"
2017/08/04,"1.22"
2017/08/05,""
2017/08/06,""
2017/08/07,"1.20"
2017/08/08,"1.18"
2017/08/09,"1.23"
2017/08/10,"1.23"
2017/08/11,"1.23"
2017/08/12,""
2017/08/13,""
2017/08/14,"1.21"
2017/08/15,""
2017/08/16,"1.21"
2017/08/17,"1.22"
2017/08/18,"1.23"
2017/08/19,""
2017/08/20,""
2017/08/21,"1.23"
2017/08/22,"1.23"
2017/08/23,"1.23"
2017/08/24,"1.24"
2017/08/25,"1.24"
2017/08/26,""
2017/08/27,""
2017/08/28,"1.25"
2017/08/29,"1.25"
2017/08/30,"1.25"
2017/08/31,"1.27"
2017/09/01,"1.26"
2017/09/02,""
2017/09/03,""
2017/09/04,"1.25"
2017/09/05,"1.24"
2017/09/06,"1.24"
2017/09/07,"1.25"
2017/09/08,"1.25"
2017/09/09,""
2017/09/10,""
2017/09/11,"1.25"
2017/09/12,"1.26"
2017/09/13,"1.26"
2017/09/14,"1.26"
2017/09/15,"1.25"
2017/09/16,""
2017/09/17,""
2017/09/18,"1.25"
2017/09/19,"1.24"
2017/09/20,"1.25"
2017/09/21,"1.25"
2017/09/22,"1.25"
2017/09/23,""
2017/09/24,""
2017/09/25,"1.26"
2017/09/26,"1.25"
2017/09/27,"1.26"
2017/09/28,"1.26"
2017/09/29,"1.27"
2017/09/30,""
2017/10/01,""
2017/10/02,""
2017/10/03,""
2017/10/04,""
2017/10/05,""
2017/10/06,""
2017/10/07,""
2017/10/08,""
2017/10/09,""
2017/10/10,"1.26"
2017/10/11,"1.24"
2017/10/12,"1.25"
2017/10/13,"1.25"
2017/10/14,""
2017/10/15,""
2017/10/16,"1.25"
2017/10/17,"1.24"
2017/10/18,"1.24"
2017/10/19,"1.24"
2017/10/20,"1.24"
2017/10/21,""
2017/10/22,""
2017/10/23,"1.24"
2017/10/24,"1.24"
2017/10/25,"1.24"
2017/10/26,"1.25"
2017/10/27,"1.24"
2017/10/28,""
2017/10/29,""
2017/10/30,"1.23"
2017/10/31,"1.26"
2017/11/01,"1.24"
2017/11/02,"1.24"
2017/11/03,"1.24"
2017/11/04,""
2017/11/05,""
2017/11/06,"1.23"
2017/11/07,"1.25"
2017/11/08,"1.23"
2017/11/09,"1.24"
2017/11/10,"1.24"
2017/11/11,""
2017/11/12,""
2017/11/13,"1.25"
2017/11/14,"1.24"
2017/11/15,"1.24"
2017/11/16,"1.24"
2017/11/17,"1.24"
2017/11/18,""
2017/11/19,""
2017/11/20,"1.25"
2017/11/21,"1.25"
2017/11/22,"1.24"
2017/11/23,"1.25"
2017/11/24,"1.25"
2017/11/25,""
2017/11/26,""
2017/11/27,"1.26"
2017/11/28,"1.26"
2017/11/29,"1.26"
2017/11/30,"1.53"
2017/12/01,"1.48"
2017/12/02,""
2017/12/03,""
2017/12/04,"1.48"
2017/12/05,"1.47"
2017/12/06,"1.48"
2017/12/07,"1.49"
2017/12/08,"1.52"
2017/12/09,""
2017/12/10,""
2017/12/11,"1.52"
2017/12/12,"1.51"
2017/12/13,"1.50"
2017/12/14,"1.50"
2017/12/15,"1.51"
2017/12/16,""
2017/12/17,""
2017/12/18,"1.50"
2017/12/19,"1.50"
2017/12/20,"1.51"
2017/12/21,"1.53"
2017/12/22,"1.51"
2017/12/23,""
2017/12/24,""
2017/12/25,""
2017/12/26,"1.52"
2017/12/27,"1.51"
2017/12/28,"1.55"
2017/12/29,"1.58"
2017/12/30,""
2017/12/31,""
